,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1673,21,0,19,0,0,20,75,10,0,1,16,16,0,12,0,6,2,0,0,0,0,0,2,0,1,0,0,0,9,0,0,0,0,0,0,24,0,0,0,10,0,0,0
6780,0,0,0,22,88,0,0,5,0,0,16,0,19,0,0,0,0,290,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,91,0,0,0,0
10343,0,36,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,238,24,0,0,0,0,2,0,0,0,2,0,6,0,0,0,9,0,0,24,0,0,0,2,0,0
6461,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,21,0,19,0,0,0,0,0,0,99,0,0,0,10,0,0,0,290,0,2,0,0,3,0,4,0,1,2,8,0,0,0,0,0,0,0,0,0,0,10,0,0,132
1526,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0
9267,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6194,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
